sale_date,sale_price,sale_nbr,lat,lng,sqft,sqft_lot,year_built,year_reno,sqft_fbsmt,sqft_1,grade,fbsmt_grade,condition,stories,beds,bath_full,bath_3qtr,bath_half,garb_sqft,gara_sqft
2020-07-07,570000,3.0,47.51170611502049,-122.32044998749514,1310,7700,1961,0,240,1070,7,5,3,1.0,3,1,0,1,0,290
2020-07-15,837000,,47.702177886058784,-122.33864271553747,620,10364,1938,0,0,620,7,0,1,1.0,2,1,0,0,0,290
2020-07-10,710000,2.0,47.35744842341355,-122.28459015190936,920,11326,1956,0,0,920,6,0,3,1.0,2,1,0,0,0,0
2020-07-13,1600000,,47.64181501249585,-122.35650663433395,1800,4800,1916,0,0,1160,7,0,4,1.5,3,1,0,0,0,0
2020-07-14,998800,3.0,47.669604306813966,-122.36102412521448,1150,3500,1950,0,220,930,7,7,3,1.0,2,1,0,0,240,0
2020-07-15,560000,3.0,47.502964215122184,-122.14403529708244,1450,30000,1962,0,0,1020,5,0,2,2.0,2,1,0,0,0,0
2020-07-18,588000,2.0,47.459763639972394,-122.35499840888777,1650,9152,1942,0,0,1650,6,0,3,1.0,3,1,0,0,0,0
2020-07-17,590000,2.0,47.54550884375069,-122.28426668276514,1210,10000,1922,0,0,800,6,0,3,1.5,3,1,0,0,0,0
2020-07-14,450000,2.0,47.30868570953914,-122.2338221516874,1480,6000,1908,0,0,940,6,0,3,1.5,5,1,0,0,0,0
2020-07-20,290000,4.0,47.38690307033775,-122.23846698314117,1440,6634,1957,0,0,1440,7,0,3,1.0,4,1,0,0,0,0
2020-07-14,1629000,2.0,47.68578502149516,-122.3818416535724,760,4800,1912,0,0,760,6,0,4,1.0,2,1,0,0,0,0
2020-07-18,549995,,47.43034742741137,-122.29233452130764,2310,9397,1954,0,1050,1260,7,5,3,1.0,5,1,1,0,0,310
2020-07-16,625000,5.0,47.47641670753367,-122.26295593410303,1980,37985,1949,0,720,1260,7,3,3,1.0,4,1,1,0,0,640
2020-07-17,600000,3.0,47.50984092538431,-122.27199862770226,1630,11730,1963,0,0,1630,8,0,3,1.0,3,1,0,2,0,460
2020-07-14,525000,3.0,47.51183372608118,-122.34001956215565,1410,9018,1934,0,500,650,7,6,4,1.5,3,1,0,0,0,0
2020-07-21,900000,,47.6128682377359,-122.15396614601325,1420,23430,1949,0,0,1420,7,0,4,1.0,3,1,0,1,0,370
2020-07-27,500000,,47.44070825970536,-122.28049138972696,1480,8917,1958,0,0,1480,7,0,3,1.0,3,1,0,0,0,260
