id,address,latitude,longitude,lastSalePrice,squareFootage,lotSize,bedrooms,bathrooms,propertyType,lastSaleDate
"11346-Bartlett-Ave-NE,-Seattle,-WA-98125","11346 Bartlett Ave NE, Seattle, WA 98125",47.711731,-122.282583,850000,1320,8743,3,1.5,Single Family,2025-12-08
"11737-Lakeside-Ave-NE,-Seattle,-WA-98125","11737 Lakeside Ave NE, Seattle, WA 98125",47.714596,-122.279206,1470000,3470,7396,4,3.5,Single Family,2026-01-15
"11504-Sand-Point-Way-NE,-Seattle,-WA-98125","11504 Sand Point Way NE, Seattle, WA 98125",47.712646,-122.281559,954000,1520,7200,3,2.0,Multi-Family,2025-12-08
"11503-Bartlett-Ave-NE,-Seattle,-WA-98125","11503 Bartlett Ave NE, Seattle, WA 98125",47.712263,-122.283447,875000,2120,5397,4,1.0,Single Family,2025-10-16
"11714-36th-Ave-NE,-Seattle,-WA-98125","11714 36th Ave NE, Seattle, WA 98125",47.714337,-122.288444,1150000,2220,8012,4,2.5,Single Family,2025-10-31
"11027-35th-Ave-NE,-Seattle,-WA-98125","11027 35th Ave NE, Seattle, WA 98125",47.709232,-122.291122,840000,999,7680,2,1.0,Single Family,2026-03-13
"3003-Ne-88th-St,-Seattle,-WA-98115","3003 Ne 88th St, Seattle, WA 98115",47.692161,-122.295781,1100000,3365,3424,5,2.5,Single Family,2025-10-07
"1740-Ne-90th-St,-Seattle,-WA-98115","1740 Ne 90th St, Seattle, WA 98115",47.694132,-122.307701,580000,1070,6815,2,1.0,Single Family,2025-10-06
"1755-Ne-89th-St,-Seattle,-WA-98115","1755 Ne 89th St, Seattle, WA 98115",47.692845,-122.307045,727000,950,5976,2,1.0,Single Family,2025-12-23
"8811-12th-Ave-NE,-Seattle,-WA-98115","8811 12th Ave NE, Seattle, WA 98115",47.692703,-122.315211,850000,980,5413,2,1.0,Single Family,2025-11-12
"9222-Roosevelt-Way-NE,-Apt-302,-Seattle,-WA-98115","9222 Roosevelt Way NE, Apt 302, Seattle, WA 98115",47.696532,-122.317153,425000,919,15231,2,2.0,Condo,2025-11-03
